"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"244","Leverkusen","Paris S-G",0,4,"Team 2 Menang"
"245","Paris S-G","Leverkusen",2,1,"Team 1 Menang"
"246","Galatasaray","Chelsea",1,1,"Imbang"
"247","Chelsea","Galatasaray",2,0,"Team 1 Menang"
"248","Milan","Atlético Madrid",0,1,"Team 2 Menang"
"249","Atlético Madrid","Milan",4,1,"Team 1 Menang"
"250","Bayern Munich","Dortmund",2,1,"Team 1 Menang"
"251","Bayern Munich","Barcelona",4,0,"Team 1 Menang"
"252","Barcelona","Bayern Munich",0,3,"Team 2 Menang"
"253","Dortmund","Real Madrid",4,1,"Team 1 Menang"
"254","Real Madrid","Dortmund",2,0,"Team 1 Menang"
"255","Bayern Munich","Juventus",2,0,"Team 1 Menang"
"256","Juventus","Bayern Munich",0,2,"Team 2 Menang"
"257","Málaga","Dortmund",0,0,"Imbang"
"258","Dortmund","Málaga",3,2,"Team 1 Menang"
"259","Paris S-G","Barcelona",2,2,"Imbang"
"260","Barcelona","Paris S-G",1,1,"Imbang"
"261","Real Madrid","Galatasaray",3,0,"Team 1 Menang"
"262","Galatasaray","Real Madrid",3,2,"Team 1 Menang"
"263","Arsenal","Bayern Munich",1,3,"Team 2 Menang"
"264","Bayern Munich","Arsenal",0,2,"Team 2 Menang"
"265","Real Madrid","Manchester Utd",1,1,"Imbang"
"266","Manchester Utd","Real Madrid",1,2,"Team 2 Menang"
"267","Porto","Málaga",1,0,"Team 1 Menang"
"268","Málaga","Porto",2,0,"Team 1 Menang"
"269","Milan","Barcelona",2,0,"Team 1 Menang"
"270","Barcelona","Milan",4,0,"Team 1 Menang"
"271","Shakhtar","Dortmund",2,2,"Imbang"
"272","Dortmund","Shakhtar",3,0,"Team 1 Menang"
"273","Celtic","Juventus",0,3,"Team 2 Menang"
"274","Juventus","Celtic",2,0,"Team 1 Menang"
"275","Galatasaray","Schalke 04",1,1,"Imbang"
"276","Schalke 04","Galatasaray",2,3,"Team 2 Menang"
"277","Valencia","Paris S-G",1,2,"Team 2 Menang"
"278","Paris S-G","Valencia",1,1,"Imbang"
"279","Chelsea","Bayern Munich",1,1,"Imbang"
"280","Bayern Munich","Real Madrid",2,1,"Team 1 Menang"
"281","Real Madrid","Bayern Munich",2,1,"Team 1 Menang"
"282","Chelsea","Barcelona",1,0,"Team 1 Menang"
"283","Barcelona","Chelsea",2,2,"Imbang"
"284","Marseille","Bayern Munich",0,2,"Team 2 Menang"
"285","Bayern Munich","Marseille",2,0,"Team 1 Menang"
"286","Milan","Barcelona",0,0,"Imbang"
"287","Barcelona","Milan",3,1,"Team 1 Menang"
"288","APOEL FC","Real Madrid",0,3,"Team 2 Menang"
"289","Real Madrid","APOEL FC",5,2,"Team 1 Menang"
"290","Benfica","Chelsea",0,1,"Team 2 Menang"
"291","Chelsea","Benfica",2,1,"Team 1 Menang"
"292","Basel","Bayern Munich",1,0,"Team 1 Menang"
"293","Bayern Munich","Basel",7,0,"Team 1 Menang"
"294","Milan","Arsenal",4,0,"Team 1 Menang"
"295","Arsenal","Milan",3,0,"Team 1 Menang"
"296","Leverkusen","Barcelona",1,3,"Team 2 Menang"
"297","Barcelona","Leverkusen",7,1,"Team 1 Menang"
"298","CSKA Moscow","Real Madrid",1,1,"Imbang"
"299","Real Madrid","CSKA Moscow",4,1,"Team 1 Menang"
"300","Marseille","Inter",1,0,"Team 1 Menang"
"301","Inter","Marseille",2,1,"Team 1 Menang"
"302","Zenit","Benfica",3,2,"Team 1 Menang"
"303","Benfica","Zenit",2,0,"Team 1 Menang"
"304","Napoli","Chelsea",3,1,"Team 1 Menang"
"305","Chelsea","Napoli",4,1,"Team 1 Menang"
"306","Lyon","APOEL FC",1,0,"Team 1 Menang"
"307","APOEL FC","Lyon",1,0,"Team 1 Menang"
"308","Barcelona","Manchester Utd",3,1,"Team 1 Menang"
"309","Schalke 04","Manchester Utd",0,2,"Team 2 Menang"
"310","Manchester Utd","Schalke 04",4,1,"Team 1 Menang"
"311","Real Madrid","Barcelona",0,2,"Team 2 Menang"
"312","Barcelona","Real Madrid",1,1,"Imbang"
"313","Chelsea","Manchester Utd",0,1,"Team 2 Menang"
